make_name,model_name,model_year,trim_name,body_type_normalized,transmission_normalized,msrp_base_candidate,source_row_count,needs_enrichment,selection_reason,variant_sort_order,source_mmr_median,source_sellingprice_median
Audi,A4,2012,2.0T Premium quattro,sedan,Automatic,20700,232,True,Premium compact sedan alternative with clear user-facing recognition.,1,20700.0,20400
Audi,A4,2013,2.0T Premium quattro,sedan,Automatic,23200,123,True,Premium compact sedan alternative with clear user-facing recognition.,2,23200.0,23400
Audi,A4,2009,2.0T Premium quattro,sedan,Automatic,11900,123,True,Premium compact sedan alternative with clear user-facing recognition.,3,11900.0,11900
BMW,3 Series,2012,328i,sedan,Automatic,23500,894,True,Premium sport sedan anchor with strong volume for later compare use cases.,1,23500.0,23950
BMW,3 Series,2011,328i,sedan,Automatic,18700,838,True,Premium sport sedan anchor with strong volume for later compare use cases.,2,18700.0,18500
BMW,3 Series,2011,328i xDrive,sedan,Automatic,19450,598,True,Premium sport sedan anchor with strong volume for later compare use cases.,3,19450.0,19275
BMW,X3,2007,3.0si,suv,Automatic,9588,164,True,Premium compact SUV with good compare potential.,1,9588.0,9200
BMW,X3,2006,3.0i,suv,Automatic,7775,149,True,Premium compact SUV with good compare potential.,2,7775.0,7500
BMW,X3,2008,3.0si,suv,Automatic,11350,141,True,Premium compact SUV with good compare potential.,3,11350.0,10900
BMW,X5,2012,xDrive35i Premium,suv,Automatic,33900,328,True,Premium midsize SUV anchor with strong row volume.,1,33900.0,33625
BMW,X5,2012,xDrive35d,suv,Automatic,32700,208,True,Premium midsize SUV anchor with strong row volume.,2,32700.0,32000
BMW,X5,2013,xDrive35i,suv,Automatic,35600,193,True,Premium midsize SUV anchor with strong row volume.,3,35600.0,35500
Chevrolet,Cruze,2014,1LT,sedan,Automatic,12300,1016,True,Mainstream compact option with usable pricing coverage and trim spread.,1,12300.0,12000
Chevrolet,Cruze,2014,2LT,sedan,Automatic,13150,960,True,Mainstream compact option with usable pricing coverage and trim spread.,2,13150.0,13100
Chevrolet,Cruze,2013,1LT,sedan,Automatic,10600,813,True,Mainstream compact option with usable pricing coverage and trim spread.,3,10600.0,10500
Chevrolet,Equinox,2013,LT,suv,Automatic,15900,751,True,Compact SUV value option with usable data quality.,1,15900.0,15700
Chevrolet,Equinox,2012,LT,suv,Automatic,14250,496,True,Compact SUV value option with usable data quality.,2,14250.0,14225
Chevrolet,Equinox,2012,LS,suv,Automatic,13050,457,True,Compact SUV value option with usable data quality.,3,13050.0,12900
Chevrolet,Silverado 1500,2014,LT,pickup,Automatic,27700,683,True,High-volume pickup that adds truck compare coverage.,1,27700.0,27700
Chevrolet,Silverado 1500,2013,LT,pickup,Automatic,25400,503,True,High-volume pickup that adds truck compare coverage.,2,25400.0,25300
Chevrolet,Silverado 1500,2011,LT,pickup,Automatic,20300,477,True,High-volume pickup that adds truck compare coverage.,3,20300.0,20400
Chevrolet,Traverse,2012,LS,suv,Automatic,14900,315,True,Three-row family SUV with practical compare value.,1,14900.0,14900
Chevrolet,Traverse,2012,LT,suv,Automatic,17500,186,True,Three-row family SUV with practical compare value.,2,17500.0,17000
Chevrolet,Traverse,2014,LT,suv,Automatic,25700,183,True,Three-row family SUV with practical compare value.,3,25700.0,25600
Chevrolet,Volt,2012,Base,hatchback,Automatic,12350,347,True,Electrified model with recognizable identity and enough signal for later enrichment.,1,12350.0,12200
Chevrolet,Volt,2013,Base,hatchback,Automatic,14025,124,True,Electrified model with recognizable identity and enough signal for later enrichment.,2,14025.0,14400
Chevrolet,Volt,2011,Base,hatchback,Automatic,13175,24,True,Electrified model with recognizable identity and enough signal for later enrichment.,3,13175.0,13050
Dodge,Grand Caravan,2014,SXT,mpv,Automatic,16600,1950,True,High-volume minivan benchmark with strong later compare value.,1,16600.0,16600
Dodge,Grand Caravan,2013,SXT,mpv,Automatic,11700,1149,True,High-volume minivan benchmark with strong later compare value.,2,11700.0,11600
Dodge,Grand Caravan,2012,SXT,mpv,Automatic,10500,651,True,High-volume minivan benchmark with strong later compare value.,3,10500.0,10200
Ford,Escape,2013,SE,suv,Automatic,15350,2001,True,Mainstream compact SUV with good pricing coverage.,1,15350.0,14900
Ford,Escape,2012,XLT,suv,Automatic,14500,1468,True,Mainstream compact SUV with good pricing coverage.,2,14500.0,14300
Ford,Escape,2013,SEL,suv,Automatic,18300,1399,True,Mainstream compact SUV with good pricing coverage.,3,18300.0,18000
Ford,Explorer,2013,XLT,suv,Automatic,25600,1674,True,Large family SUV with strong row volume and recognizable buyer use case.,1,25600.0,25000
Ford,Explorer,2014,Limited,suv,Automatic,28200,741,True,Large family SUV with strong row volume and recognizable buyer use case.,2,28200.0,27800
Ford,Explorer,2012,XLT,suv,Automatic,22900,512,True,Large family SUV with strong row volume and recognizable buyer use case.,3,22900.0,22900
Ford,F-150,2013,XLT,pickup,Automatic,25000,1144,True,Full-size pickup benchmark with strong row count and trim spread.,1,25000.0,24800
Ford,F-150,2011,XLT,pickup,Automatic,21400,1059,True,Full-size pickup benchmark with strong row count and trim spread.,2,21400.0,21000
Ford,F-150,2014,XLT,pickup,Automatic,26850,916,True,Full-size pickup benchmark with strong row count and trim spread.,3,26850.0,26000
Ford,Focus,2013,SE,sedan,Automatic,10850,3136,True,Popular compact with enough volume to support 1-3 representative variants.,1,10850.0,10600
Ford,Focus,2014,SE,sedan,Automatic,12250,2458,True,Popular compact with enough volume to support 1-3 representative variants.,2,12250.0,12000
Ford,Focus,2012,SE,sedan,Automatic,9500,1440,True,Popular compact with enough volume to support 1-3 representative variants.,3,9500.0,9200
Ford,Fusion,2013,SE,sedan,Automatic,14250,2826,True,High-volume sedan with strong pricing signal and representative trims.,1,14250.0,13800
Ford,Fusion,2014,SE,sedan,Automatic,15000,2377,True,High-volume sedan with strong pricing signal and representative trims.,2,15000.0,14800
