variant_id,make_name,model_name,model_year,trim_name,body_type,fuel_type,transmission,msrp_base,current_image_count,current_primary_image_url,image_status,image_url,sort_order,notes
178,McLaren,720S,2020,Coupe,coupe,gasoline,7-Speed Dual-Clutch,18200000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
176,Lamborghini,Huracan,2021,EVO,coupe,gasoline,7-Speed Dual-Clutch,17500000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
174,Ferrari,488 GTB,2020,Base,coupe,gasoline,7-Speed Dual-Clutch,15500000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
177,Lamborghini,Urus,2023,S,suv,gasoline,8-Speed Automatic,12800000000.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
180,Porsche,911,2024,Turbo S,coupe,gasoline,8-Speed PDK,12600000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
181,Audi,R8,2022,V10 Performance quattro,coupe,gasoline,7-Speed Dual-Clutch,11700000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
186,Aston Martin,Vantage,2022,Coupe,coupe,gasoline,8-Speed Automatic,9400000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
182,Mercedes-Benz,AMG GT,2020,R,coupe,gasoline,7-Speed Dual-Clutch,8900000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
179,Porsche,911,2024,Carrera S,coupe,gasoline,8-Speed PDK,8200000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
185,Chevrolet,Corvette,2024,Z06,coupe,gasoline,8-Speed Dual-Clutch,6400000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
184,Nissan,GT-R,2021,Premium,coupe,gasoline,6-Speed Dual-Clutch,5900000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
187,Lexus,LC,2024,500,coupe,gasoline,10-Speed Automatic,5700000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
14,BMW,X5,2024,xDrive50e,suv,phev,AT,4299000000.00,0,,missing,,0,
183,BMW,M4,2024,Competition xDrive,coupe,gasoline,8-Speed Automatic,4250000000.00,1,/placeholders/catalog/coupe.svg,placeholder,,0,
13,BMW,X5,2024,xDrive40i,suv,gasoline,AT,3899000000.00,0,,missing,,0,
18,Lexus,NX,2024,NX350h Premium,suv,hybrid,e-CVT,2789000000.00,0,,missing,,0,
17,Lexus,NX,2023,NX250 Luxury,suv,gasoline,AT,2349000000.00,0,,missing,,0,
16,Mercedes-Benz,C-Class,2024,C300 AMG Line,sedan,gasoline,AT,2099000000.00,0,,missing,,0,
12,Kia,Carnival,2024,3.5G Signature,mpv,gasoline,AT,1849000000.00,0,,missing,,0,
15,Mercedes-Benz,C-Class,2023,C200 Avantgarde,sedan,gasoline,AT,1709000000.00,0,,missing,,0,
11,Kia,Carnival,2023,2.2D Signature,mpv,diesel,AT,1589000000.00,0,,missing,,0,
4,Toyota,Camry,2024,2.5 Hybrid,sedan,hybrid,e-CVT,1495000000.00,0,,missing,,0,
22,BYD,Seal,2024,Performance AWD,sedan,ev,Single-speed,1369000000.00,0,,missing,,0,
20,VinFast,VF 8,2024,Plus,suv,ev,Single-speed,1359000000.00,0,,missing,,0,
19,VinFast,VF 8,2023,Eco,suv,ev,Single-speed,1170000000.00,0,,missing,,0,
21,BYD,Seal,2024,Premium,sedan,ev,Single-speed,1119000000.00,0,,missing,,0,
3,Toyota,Camry,2023,2.0Q,sedan,gasoline,AT,1115000000.00,0,,missing,,0,
10,Hyundai,Tucson,2024,2.0 Diesel Special,suv,diesel,AT,1039000000.00,0,,missing,,0,
6,Honda,Civic,2024,e:HEV RS,sedan,hybrid,e-CVT,999000000.00,0,,missing,,0,
2,Toyota,Corolla Cross,2024,Hybrid Premium,suv,hybrid,e-CVT,955000000.00,0,,missing,,0,
9,Hyundai,Tucson,2023,1.6 Turbo,suv,gasoline,DCT,939000000.00,0,,missing,,0,
5,Honda,Civic,2023,RS,sedan,gasoline,CVT,890000000.00,0,,missing,,0,
8,Mazda,Mazda3,2024,Signature,sedan,gasoline,AT,869000000.00,0,,missing,,0,
1,Toyota,Corolla Cross,2023,1.8V,suv,gasoline,CVT,820000000.00,0,,missing,,0,
7,Mazda,Mazda3,2023,Luxury,sedan,gasoline,AT,769000000.00,0,,missing,,0,
35,BMW,X5,2013,xDrive35i,suv,gasoline,Automatic (S8),35600.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
33,BMW,X5,2012,xDrive35i Premium,suv,gasoline,Automatic (S8),33900.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
124,Mercedes-Benz,M-Class,2012,ML350 4MATIC,suv,gasoline,Automatic 7-spd,33500.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
34,BMW,X5,2012,xDrive35d,suv,diesel,Automatic (S6),32700.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
115,Lexus,RX 350,2013,Base,suv,gasoline,Automatic (S6),32400.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
97,Jeep,Grand Cherokee,2014,Limited,suv,gasoline,Automatic 8-spd,31150.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
