make_name,make_name_normalized,model_name,model_name_normalized,model_year,trim_name,trim_name_normalized,body_type_raw,body_type_normalized,transmission_raw,transmission_normalized,msrp_base_candidate,source_row_count,source_mmr_median,source_sellingprice_median,source_vin_sample,placeholder_image_url,needs_enrichment,enrichment_missing_fields,selection_status,selection_reason,variant_sort_order,fuel_type,engine,drivetrain,doors,seats,horsepower,cylinders,engine_displacement_cc,transmission_detail,mpg_city,mpg_highway,mpg_combined,body_class_refined,compare_confidence_notes,enrichment_status,enrichment_confidence,source_used,match_key_used,enrichment_notes,ready_for_import
Audi,audi,A4,a4,2012,2.0T Premium quattro,2 0t premium quattro,Sedan,sedan,automatic,Automatic,20700,232,20700.0,20400,waukfafl2cn012833,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium compact sedan alternative with clear user-facing recognition.,1,Gasoline,2.0L 4-cyl Turbo SIDI,All-Wheel Drive,4.0,,211.0,4.0,1984.0,Automatic,21,29,24,Sedan/Saloon,Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Audi,audi,A4,a4,2013,2.0T Premium quattro,2 0t premium quattro,Sedan,sedan,automatic,Automatic,23200,123,23200.0,23400,waubfafl2dn004183,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium compact sedan alternative with clear user-facing recognition.,2,Gasoline,2.0L 4-cyl Turbo SIDI,All-Wheel Drive,4.0,,211.0,4.0,1984.0,Automatic,20,30,24,Sedan/Saloon,Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Audi,audi,A4,a4,2009,2.0T Premium quattro,2 0t premium quattro,Sedan,sedan,automatic,Automatic,11900,123,11900.0,11900,wausf78k29n020186,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium compact sedan alternative with clear user-facing recognition.,3,Gasoline,2.0L 4-cyl Turbo,All-Wheel Drive,4.0,,211.0,4.0,1984.0,Automatic (S6) (3MODE CLKUP),21,27,23,Sedan/Saloon,Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,3 Series,3-series,2012,328i,328i,Sedan,sedan,automatic,Automatic,23500,894,23500.0,23950,wba3c1c57cf433248,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium sport sedan anchor with strong volume for later compare use cases.,1,Gasoline,2.0L 4-cyl Turbo SIDI,Rear-Wheel Drive,4.0,,241.0,4.0,2000.0,Automatic (S8),23,33,26,Sedan/Saloon,Fuel type grounded as Gasoline. Drivetrain grounded as Rear-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,3 Series,3-series,2011,328i,328i,Sedan,sedan,automatic,Automatic,18700,838,18700.0,18500,wbadw3c59be538630,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium sport sedan anchor with strong volume for later compare use cases.,2,Gasoline,3.0L 6-cyl,Rear-Wheel Drive,2.0,,230.0,6.0,3000.0,Automatic (S6),18,28,22,Convertible/Cabriolet,Fuel type grounded as Gasoline. Drivetrain grounded as Rear-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,3 Series,3-series,2011,328i xDrive,328i xdrive,Sedan,sedan,automatic,Automatic,19450,598,19450.0,19275,wbapk5c51ba658773,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium sport sedan anchor with strong volume for later compare use cases.,3,Gasoline,3.0L 6-cyl,All-Wheel Drive,4.0,,230.0,6.0,3000.0,Automatic (S6),18,25,20,Sedan/Saloon,Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,X3,x3,2007,3.0si,3 0si,SUV,suv,automatic,Automatic,9588,164,9588.0,9200,wbxpc93447wf17033,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium compact SUV with good compare potential.,1,Gasoline,3.0L 6-cyl,All-Wheel Drive,4.0,,255.0,6.0,2995.0,Automatic (S6) (3MODE CLKUP),17,24,20,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,X3,x3,2006,3.0i,3 0i,SUV,suv,automatic,Automatic,7775,149,7775.0,7500,wbxpa93416wd25282,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium compact SUV with good compare potential.,2,Gasoline,3.0L 6-cyl,All-Wheel Drive,4.0,,225.0,6.0,2979.0,Automatic (S5) (3MODE CLKUP),14,21,17,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,X3,x3,2008,3.0si,3 0si,SUV,suv,automatic,Automatic,11350,141,11350.0,10900,wbxpc93418wj05926,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium compact SUV with good compare potential.,3,Gasoline,3.0L 6-cyl,All-Wheel Drive,4.0,,255.0,6.0,2995.0,Automatic (S6) (3MODE CLKUP),17,24,20,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,X5,x5,2012,xDrive35i Premium,xdrive35i premium,SUV,suv,automatic,Automatic,33900,328,33900.0,33625,5uxzv4c50cl988423,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium midsize SUV anchor with strong row volume.,1,Gasoline,3.0L 6-cyl Turbo SIDI,All-Wheel Drive,4.0,,300.0,6.0,2979.0,Automatic (S8),16,23,19,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,X5,x5,2012,xDrive35d,xdrive35d,SUV,suv,automatic,Automatic,32700,208,32700.0,32000,5uxzw0c52cl667781,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium midsize SUV anchor with strong row volume.,2,Diesel,3.0L 6-cyl Turbo SIDI,All-Wheel Drive,4.0,,265.0,6.0,2992.0,Automatic (S6),19,26,21,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Diesel. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
BMW,bmw,X5,x5,2013,xDrive35i,xdrive35i,SUV,suv,automatic,Automatic,35600,193,35600.0,35500,5uxzv4c53d0e02898,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Premium midsize SUV anchor with strong row volume.,3,Gasoline,3.0L 6-cyl Turbo SIDI,All-Wheel Drive,4.0,,300.0,6.0,2979.0,Automatic (S8),16,23,19,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
